text,class
"Differentiation of vascular tumors from vascular malformations by expression of Wilms tumor 1 gene: evaluation of 126 cases. BACKGROUND: Vascular tumors and malformations can be challenging to diagnose. Although they may initially appear very similar, they have distinct clinical courses and management. Wilms tumor 1 (WT1) gene expression has been reported in many different tumors including hematologic malignancies and some solid tumors. OBJECTIVE: We sought to evaluate the expression of WT1 in 126 vascular lesions (64 vascular tumors, one Masson tumor, and 61 vascular malformations). METHODS: Based on the International Society for the Study of Vascular Anomalies classification of vascular anomalies, we studied the expression of WT1 in vascular tumors composed of infantile hemangioma, congenital hemangiomas (non-involuting, rapidly involuting, and not otherwise specified), pyogenic granuloma, tufted angioma, cherry angioma, Kaposi sarcoma, and angiosarcoma. We also studied WT1 expression in vascular malformations composed of angiokeratoma/verrucous hemangioma, combined vascular malformations, venous malformations, glomuvenous malformations, lymphatic malformations/lymphangioma, telangiectasia, and targetoid hemosiderotic hemangioma. RESULTS: All vascular tumors and proliferations had positive WT1 cytoplasmic endothelial immunostaining whereas only 3 vascular malformations were WT1 positive. Moreover the positivity of WT1 in these vascular malformations was focal and involved only re-endothelialized neovessels within thrombi. LIMITATIONS: The low number of malignant vascular tumors is a limitation. CONCLUSIONS: Immunohistochemical detection of WT1 could be a useful tool to routine evaluation of vascular anomalies allowing the distinction of vascular tumors and proliferations from vascular malformations. Staining for WT1 may guide the clinician in difficult cases, as positive results would suggest a proliferative vascular lesion whereas negative results might point to a vascular malformation.",cancer
"Impact of prolonged fraction delivery times simulating IMRT on cultured nasopharyngeal carcinoma cell killing. PURPOSE: To determine the impact of prolonged fraction delivery times (FDTs) simulating intensity-modulated radiotherapy (IMRT) on cultured nasopharyngeal carcinoma (NPC) cell killing. METHODS AND MATERIAL: Cultured NPC cell lines CNE1 and CNE2 were used in this study. The biological effectiveness of fractionated irradiation protocols simulating conventional external beam radiotherapy and IMRT (FDT of 15, 36, and 50 minutes) was estimated with standard colony assay, and the differences in cell surviving fractions after irradiation with different protocols were tested by use of the paired t test. The impact degree of prolonged FDTs (from 8 to 50 minutes) on cell killing was also assessed by the dose-modifying factors, which were estimated by comparing the effectiveness of intermittently delivered 2 Gy with that of continuously delivered 1.5 to 2 Gy. RESULTS: The cell surviving fractions of both CNE1 and CNE2 after fractionated irradiation simulating IMRT were higher than those simulating conventional external beam radiotherapy (p < 0.05). The dose-modifying factors for a fraction dose of 2 Gy increased from 1.05 to 1.18 for CNE1 and from 1.05 to 1.11 for CNE2 with the FDT being prolonged from 15 to 50 minutes. CONCLUSIONS: This study showed that the prolonged FDTs simulating IMRT significantly decreased the cell killing in both CNE1 and CNE2 cell lines, and these negative effects increased with the FDT being prolonged from 15 to 50 minutes. These effects, if confirmed by in vivo and clinical studies, need to be considered in designing IMRT treatments for NPC.",cancer
"Case series. Soft-tissue sarcoma of the foot. BACKGROUND: We reviewed cases of soft-tissue sarcoma of the foot to gain insight into the presentation, treatments and outcomes for this rare disease and to determine whether limb-salvage surgery yields reasonable functional and oncological outcomes. METHODS: We reviewed the cases of 16 patients treated by 2 of us (R.T. and M.I.) for soft-tissue sarcoma of the foot over a 15-year period. We extracted the following information from each patient's medical record: disease status at presentation, prior treatment, histological diagnosis, American Joint Committee on Cancer (AJCC) stage, details of treatment, oncological outcome and functional outcome. Functional outcome was assessed with the Toronto Extremity Salvage Score (TESS) and the Musculoskeletal Tumor Society (MSTS 1987). RESULTS: Follow-up averaged 6 (range 2-15) years. Eight patients presented after unplanned excision. Histological diagnosis was synovial sarcoma for 7 of 16 patients.The tumours were evenly distributed among the hindfoot, midfoot and forefoot. Most patients (n = 13) presented with AJCC stage II or III disease. Amputation was necessary for 3 patients, whereas limb salvage was possible for the other 13. Free tissue transfer (n = 9) and radiation therapy (n = 12) were used in most cases. Surgical margins were microscopically positive in 4 of the 13 patients treated with limb salvage.Local disease recurred in 2 patients. Lung metastases occurred in 4 patients. At last follow-up, 11 of 16 patients were alive without disease, 2 with disease and 3 had died of their disease. Functional assessment with MSTS 1987 and the TESS averaged 28%and 90%, respectively, after limb salvage. CONCLUSION: In this series, we found that, first, patients frequently presented after unplanned excision, and this may have led to worse oncological outcomes compared with patients who presented primarily. Second, limb salvage was usually possible, but it required accepting marginal resections, relying on free tissue transfer to obtain coverage and using radiation therapy to obtain local control. Third, this combination yielded an acceptable local control rate and very good functional outcomes.",cancer
"Management of primary rectal cancer by surgeons in Atlantic Canada: results of a regional survey. BACKGROUND: We sought to determine the current practice patterns of general surgeons in Atlantic Canada in the management of primary rectal cancer in relation to surgeon-specific variables. METHODS: We sent mail-out surveys to all practising general surgeons (n = 183) in Atlantic Canada to determine screening preferences, preoperative assessment, the use of neoadjuvant and adjuvant therapy, surgical therapy for rectal cancer and surgeon demographics. We analyzed the responses using chi(2) tests. RESULTS: The response rate was 98 (54%) after 2 mail-outs; there were 82 (49%) eligible responses. Surgeons in practice for 21 years or more were more likely than those with fewer than 21 years of practice to order preoperative ultrasonography of the liver and were less likely to order preoperative computed tomography. Endorectal ultrasonography was ordered routinely by 23% of surgeons, whereas 71% of surgeons would order it if time and resources were available. Surgeons who were not certified by the Royal College of Physicians and Surgeons of Canada were significantly more likely than those who were certified to use neoadjuvant therapy in all patients with rectal cancer (43% v. 12%; p = 0.031). Surgeons who performed more than 10 rectal cancer surgeries per year were significantly more likely than those who performed 10 or fewer surgeries per year to use neoadjuvant treatment for T3 tumours (94% v. 61%; p = 0.007). Surgeons with medical or radiation oncology services in their communities were significantly more likely than those without such services to recommend neoadjuvant treatment in T3 rectal tumours and rectal tumours with pathologic lymph nodes. CONCLUSION: We found significant variation in the management of rectal cancer depending on surgeon-specific variables. The implications of these differences on the outcomes of patients with rectal cancer are unknown.",cancer
"Effectiveness of voice rehabilitation on vocalisation in postlaryngectomy patients: a systematic review. BACKGROUND: Laryngeal cancer is one of the most common malignant neoplasia of the head and neck. Its incidence has been increasing steadily all over the world. Many patients will undergo total laryngectomy with or without radical neck dissection after being diagnosed. After this surgery, normal speech is lost, and a permanent stoma in the middle of the neck is left. Therefore, voice rehabilitation is one of the most difficult challenges that these patients must overcome. In order to support the patients, otolaryngologists, nursing specialists and speech pathologists have explored several different methods for voice rehabilitation. Variations exist on the approaches of rehabilitation and indicators selected to measure the effectiveness. There is a need to undertake a systematic review to provide a plan of care and ascertain the effectiveness regarding different voice rehabilitation programs for postlaryngectomy patients. REVIEW OBJECTIVE: To critically analyse the literature and present the best available evidence related to the effectiveness of voice rehabilitation program on postlaryngectomy patients. SEARCH STRATEGY: A three-step search strategy was utilised. An initial limited search of MEDLINE and CINAHL databases was undertaken followed by an analysis of the text words contained in the title and abstract to identify the optimal index terms. A second extensive search using all identified key words and index terms was then undertaken. Third, the reference list and bibliographies of all identified reports and articles were searched for additional studies. The measurement index included voice intelligibility, volume, clarity, quality of voice, patients' satisfaction, quality of life, etc. The search included reports in English and Chinese. SELECTION CRITERIA: The review considered any randomised controlled trials that addressed voice rehabilitation methods in postlaryngectomy patients. In the absence of randomised controlled trials, other quantitative research designs, such as non-randomised controlled trials, cohort studies and case-controlled studies, were considered for inclusion. DATA COLLECTION AND ANALYSIS: Full copies of articles considered to meet the inclusion criteria were obtained for critical appraisal by two reviewers using the CASP (Critical Appraisal Skills Program) and McMaster scales. We utilised the 60% fulfilling of the evaluation scale items as the cut-off point and articles with a quality score less than 60% were excluded. Details of eligible trials were extracted and summarised by two reviewers independently using standardised data extraction tools developed by the Joanna Briggs Institute. RESULTS: Twenty-two articles were included in the review (Appendix I). Different voice rehabilitation methods for laryngectomees were investigated in the included studies including oesophageal voice, electrolarynx voice and surgical voice restoration. One cohort studies, five prospective studies, five retrospective studies and 11 descriptive studies were included. Because of the heterogeneity of included studies, meta-analysis was not possible. Therefore, the results were presented in narrative summary. The following main findings were identified: 1 At present, oesophageal speech, electrolarynx and tracheoesophageal were the commonly used voice rehabilitation methods with total laryngectomy patients. 2 Among these three methods, the success rate of electrolarynx and tracheoesophageal is much higher than oesophageal speech. 3 The intelligibility and speech quality of electrolarynx was lower than tracheoesophageal. 4 Patient satisfaction and self-assessed quality of life was better in tracheoesophageal group. 5 The objective index was similar between excellent tracheoesophageal and oesophageal speech patients. Conclusion 1 Electrolarynx is the easiest vocal rehabilitation method for total laryngectomy patients to use as it requires little training and does not limit the patients. But patients' satisfaction was lower because of the mechanical voice and noise. 2 Oesophageal speech is the hardest vocal rehabilitation method to learn. It needs a long period of time to practise and requires the patient to be in good physical condition and to be relatively young. The success rate was relatively lower; however, it is the most commonly used rehabilitation method in developing countries because of low cost. 3 Tracheoesophageal is the most commonly used voice rehabilitation method in developed countries. It is a surgical method that could be performed as either a primary procedure or secondary procedure. Reported patient quality of life and satisfaction following tracheoesophageal were the best; however, there are complications and the frequent replacement of the prostheses is an important problem yet to be solved. Implication for practice 1 Voice rehabilitation after total laryngectomy is an immediate and long-term problem that patients and health worker must face. 2 Healthcare workers should understand the advantages and disadvantages of each voice rehabilitation method in detail to assist people with total laryngectomy to make the most appropriate decision in regard to rehabilitation method taking into consideration their age, sex, physical condition, job, economic status and other context factors. Implication for research 1 Further high-quality studies comparing the effectiveness of oesophageal speech, electrolarynx and tracheoesophageal vocal rehabilitation methods are needed, especially with the subjective and objective outcome index concurrently. 2 Further investigation is required to identify strategies to decrease the complications of tracheoesophageal and reduce frequency of required tracheoesophageal replacement. 3 More research is needed in the context of developing countries where healthcare resources may be limited.",cancer
"Pheochromocytoma during pregnancy treated by surgery. A case report and the review of the literature. INTRODUCTION: Prenatal diagnosis of pheocromocytoma, although rare, is important as it allows a reduction in both maternal mortality and foetal loss. Pheocromocytoma operated on in the first trimester of pregnancy with survival of both patient and foetus is rare in literature. Our case was operated on with success after a correct and early diagnosis was obtained despite a chronic hypertension which existed long before pregnancy. Our case study well illustrates that a correct multidisciplinary approach involving endocrinologists, anesthesiologists, surgeons and gynecologists is fundamental for a positive outcome. CASE REPORT: The case of a white caucasian pregnant woman at 13th weeks of gestation with pheocromocytoma and severe and unstable hypertension that could not be pharmacologically controlled is described. Morphological diagnosis was safely obtained by Magnetic Resonance Imaging (MRI) without intravenous medium contrast agent. Pre-operative treatment consisted of therapy with alpha-blockers and rehydration. Adrenalectomy was performed through a laparotomy. Postoperative treatment consisted of rehydration and ephedrine continued until the fourth post-operative day. The post-operative period was uneventful and a new ultrasound (US) scan confirmed foetal vitality. The patient was discharged seven days after surgery. A live newborn was physiologically delivered after a nine-month pregnancy. CONCLUSION: A correct diagnosis in all pregnant women with severe hypertension particularly those not screened for secondary hypertension and a multidisciplinary management are mandatory to obtain optimal results and avoid deleterious effects at delivery.",cancer
"Single port laparoscopically assisted hysterectomy with the TriPort system. A case report and review of the literature. AIM: We report our recent experience with the TriPort system (trademark of Advanced Surgical Concepts, Wicklow, Ireland) to perform a laparoscopically assisted hysterectomy via a single periumbilical incision. CASE REPORT: A 48-year-old multiparous woman was referred to us on March 2009 because of menometrorrhagia and uterine fibroids. RESULTS: The procedure was performed without intraoperative complications. The weight of the uterus was 360 gr. At the 10 months follow-up the patient did not refer any problem. DISCUSSION: Although our experience represented a potentially difficult surgery because of the size of the uterus, severe adhesions (two previous caesarean sessions) and the lack of experience with the new system, the procedure demonstrated to be feasible. As for our knowledge the present report represents the first case of single port laparoscopically assisted hysterectomy performed with the TriPort system in Italy. CONCLUSION: Single port laparoscopy is feasible and could potentially decrease postoperative pain as well as increase patient satisfaction. Although the early experience with TriPort system is promising, experienced laparoscopic skills are essential for the safe and effective performing of the procedure.",cancer
"Pancreatic pseudocyst-inferior vena cava fistula causing caval stenosis, left renal vein thrombosis, subcutaneous fat necrosis, arthritis and dysfibrinogenemia. AIM: We describe the case of a 38 year old man, with a story of alcohol abuse, who developed a very painful nodular subcutaneous fat necrosis, fever and polyarthritis, denying any abdominal symptoms due to a pancreatic pseudocyst-inferior vena cava fistula. MATERIAL OF STUDY: The authors discuss the unusual and protracted course with intermittent hyperamylasemia and hyperlipasemia related to clinical manifestations such as subcutaneous fat necrosis, polyarthritis, pleural effusion and dysfibrinogenemia, and vascular complications as inferior vena cava stenosis and left renal vein thrombosis without abdominal symptomatology. RESULTS: After ultrasonograms and CT Scans showing a 3-4 cm cyst at the pancreatic head with a solid bud protruding into the pseudocystic cavity, and an ERCP showing a communication between the pancreatic duct and the pseudocyst but failing in demonstrating the vascular fistula, the patient underwent a Roux-en-y pseudocyst-jejunostomy and suture of the caval communication leading to complete recovery with normalization of laboratory findings. DISCUSSION: In our case, the locally sclerosing activity of the enzymes in the endothelium led to a communication between the inferior vena cava and the pseudocyst and to a complete thrombosis of the left renal vein and to a stenosis of the inferior vena cava itself The fluctuance of the symptomatology severity was probably due to an intermittent opening of the passage between pseudocyst and vena cava. Such a clinical case, to the author knowledge, has never been reported. CONCLUSION: When in presence of very high levels of amylasemia and lipasemia in spite of the paucity of abdominal symptomatology, and the onset of unusual complications such as panniculitis, pleural effusion, arthritis and coagulative disorders, a pancreatic pseudocyst-inferior vena cava fistula should be kept in consideration during diagnosis.",cancer
"Novel multitargeted anticancer oral therapies: sunitinib and sorafenib as a paradigm. The introduction of novel targeted therapies into the clinic in recent years has had a considerable impact on the management of several neoplastic diseases--such as gastrointestinal stromal tumors, hepatocellular carcinomas and renal cell carcinomas--considered until recently refractory to systemic therapies. We describe here two such novel biological agents, sunitinib and sorafenib, as a paradigm of the successful clinical application of new concepts. Sunitinib and sorafenib are small molecule tyrosine kinase inhibitors that target vascular endothelial growth factor receptor, platelet-derived growth factor receptor, C-Kit and others. Both agents are administered orally; sunitinib is tyically given in cycles for 4 consecutive weeks with 2 weeks off, while sorafenib is given continually. Side effects occur in most patients, similar for both agents; they may affect several systems and organs but are mostly mild and easily manageable, rarely requiring discontinuation of the drug. However, these toxicities mandate prompt attention and intervention. The most frequently observed effects are hypertension, nausea, anorexia, asthenia and cutaneous manifestations; cardiac abnormalities may include congestive failure. Sunitinib, and markedly less frequently sorafenib, may cause thyroid gland dysfunction, mainly hypothyroidism. Antitumor activity has been shown for renal cell carcinoma in pivotal trials, for sunitinib as first-line treatment and for sorafenib in previously treated patients as second-line. Sunitinib is now approved as second-line therapy for patients with GIST refractory to imatinib; sorafenib has resulted in a significant prolongation in median survival in patients with hepatocellular carcinoma. Ongoing clinical trials will further define the spectrum of these agents' antitumor activity, their role in combination with other drugs, as well as their optimal dose and schedule of administration.",cancer
"Investigation of the eIF2alpha phosphorylation mechanism in response to proteasome inhibition in melanoma and breast cancer cells. The 26S proteasome is an ATP-dependent proteolytic complex found in all eukaryotes, archaebacteria, and some eubacteria. Inhibition of the 26S proteasome causes pleiotropic effects in cells, including cellular apoptosis, a fact that has led to the use of the 26S proteasome inhibitor, bortezomib, for treatment of the multiple myeloma cancer. We previously showed that in addition to the effects of proteolysis, inhibition of the 26S proteasome causes a rapid decrease in the protein synthesis rate due to phosphorylating alfa subunit of the eukaryotic translation initiation factor 2 (eIF2alpha) by the heme-regulated inhibitor kinase (HRI). In order to test whether inhibition of the 26S proteasome causes the same effect in cancer cells, we have investigated the influence of two commonly used proteasome inhibitors, bortezomib and MG132, on the phosphorylation status of eIF2alpha in B16F10 melanoma and 4T1 breast cancer cells. It was found that both of the inhibitors caused rapid phosphorylation of eIF2alpha. Taking into account that the Hsp70 is a critical component needed for the HRI activation and enzymatic activity, we have tested a possible participation of this protein in the eIF2alpha phosphorylation event. However, treatment of the cells with two structurally different Hsp70 inhibitors, quercetin and KNK437, in the presence of the proteasome inhibitors did not affect the eIF2alpha phosphorylation. In addition, neither protein kinase C (PKC) nor p38 mitogen-activated protein kinase (MAPK) was required for the proteasome inhibitor-induced eIF2alpha phosphorylation; futhermore, both the PKC inhibitor staurosporine and the p38 MAPK inhibitor SB203580 caused enchanced phosphorylation of eLF2alpha. Zinc (II) protoporphyrine IX (ZnPP), an inhibitor of the heme-oxygenase-1 (HO-1), which has also been previously reported to be involved in HRI activation, also failed to prevent the induction of eIF2alpha phosphorylation in the presence of the proteasome inhibitor bortezomib or MG132.",cancer
"A holistic approach to a rare pathology. A case of cystic hygroma (CH), a congenital lymph-filled multicystic hamartoma of the neck, with a holistic approach to patient management is presented. The stigma of the CH imposed by attending physicians, dentists, parents, teachers and peers affected the psychological development of this patient since her diagnosis in childhood. Although surgery relieves the threat of airway obstruction and may improve the esthetic appearance of the CH, the patient may be isolated and traumatized by the ignorance and superstitions of the individuals she encounters on a daily basis.",cancer
"A new fast and fully automated software based algorithm for extracting respiratory signal from raw PET data and its comparison to other methods. PURPOSE: Respiratory gating in PET is an approach used to minimize the negative effects of respiratory motion on spatial resolution. It is based on an initial determination of a patient's respiratory movements during a scan, typically using hardware based systems. In recent years, several fully automated databased algorithms have been presented for extracting a respiratory signal directly from PET data, providing a very practical strategy for implementing gating in the clinic. In this work, a new method is presented for extracting a respiratory signal from raw PET sinogram data and compared to previously presented automated techniques. METHODS: The acquisition of respiratory signal from PET data in the newly proposed method is based on rebinning the sinogram data into smaller data structures and then analyzing the time activity behavior in the elements of these structures. From this analysis, a 1D respiratory trace is produced, analogous to a hardware derived respiratory trace. To assess the accuracy of this fully automated method, respiratory signal was extracted from a collection of 22 clinical FDG-PET scans using this method, and compared to signal derived from several other software based methods as well as a signal derived from a hardware system. RESULTS: The method presented required approximately 9 min of processing time for each 10 min scan (using a single 2.67 GHz processor), which in theory can be accomplished while the scan is being acquired and therefore allowing a real-time respiratory signal acquisition. Using the mean correlation between the software based and hardware based respiratory traces, the optimal parameters were determined for the presented algorithm. The mean/median/range of correlations for the set of scans when using the optimal parameters was found to be 0.58/0.68/0.07-0.86. The speed of this method was within the range of real-time while the accuracy surpassed the most accurate of the previously presented algorithms. CONCLUSIONS: PET data inherently contains information about patient motion; information that is not currently being utilized. We have shown that a respiratory signal can be extracted from raw PET data in potentially real-time and in a fully automated manner. This signal correlates well with hardware based signal for a large percentage of scans, and avoids the efforts and complications associated with hardware. The proposed method to extract a respiratory signal can be implemented on existing scanners and, if properly integrated, can be applied without changes to routine clinical procedures.",cancer
"Measuring output factors of small fields formed by collimator jaws and multileaf collimator using plastic scintillation detectors. PURPOSE: As the practice of using high-energy photon beams to create therapeutic radiation fields of subcentimeter dimensions (as in intensity-modulated radiotherapy or stereotactic radiosurgery) grows, so too does the need for accurate verification of beam output at these small fields in which standard practices of dose verification break down. This study investigates small-field output factors measured using a small plastic scintillation detector (PSD), as well as a 0.01 cm3 ionization chamber. Specifically, output factors were measured with both detectors using small fields that were defined by either the X-Y collimator jaws or the multileaf collimator (MLC). METHODS: A PSD of 0.5 mm diameter and 2 mm length was irradiated with 6 and 18 MV linac beams. The PSD was positioned vertically at a source-to-axis distance of 100 cm, at 10 cm depth in a water phantom, and irradiated with fields ranging in size from 0.5 x 0.5 to 10 x 10 cm2. The field sizes were defined either by the collimator jaws alone or by a MLC alone. The MLC fields were constructed in two ways: with the closed leaves (i.e., those leaves that were not opened to define the square field) meeting at either the field center line or at a 4 cm offset from the center line. Scintillation light was recorded using a CCD camera and an estimation of error in the median-filtered signals was made using the bootstrapping technique. Measurements were made using a CC01 ionization chamber under conditions identical to those used for the PSD. RESULTS: Output factors measured by the PSD showed close agreement with those measured using the ionization chamber for field sizes of 2.0 x 2.0 cm2 and above. At smaller field sizes, the PSD obtained output factors as much as 15% higher than those found using the ionization chamber by 0.6 x 0.6 cm2 jaw-defined fields. Output factors measured with no offset of the closed MLC leaves were as much as 20% higher than those measured using a 4 cm leaf offset. CONCLUSIONS: The authors' results suggest that PSDs provide a useful and possibly superior alternative to existing dosimetry systems for small fields, as they are inherently less susceptible to volume-averaging and perturbation effects than larger, air-filled ionization chambers. Therefore, PSDs may provide more accurate small-field output factor determination, regardless of the collimation mechanism.",cancer
"Surface applicator calibration and commissioning of an electronic brachytherapy system for nonmelanoma skin cancer treatment. PURPOSE: The Xoft Axxent x-ray source has been used for treating nonmelanoma skin cancer since the surface applicators became clinically available in 2009. The authors report comprehensive calibration procedures for the electronic brachytherapy (eBx) system with the surface applicators. METHODS: The Xoft miniature tube (model S700) generates 50 kVp low-energy x rays. The new surface applicators are available in four sizes of 10, 20, 35, and 50 mm in diameter. The authors' tests include measurements of dose rate, air-gap factor, output stability, depth dose verification, beam flatness and symmetry, and treatment planning with patient specific cutout factors. The TG-61 in-air method was used as a guideline for acquiring nominal dose-rate output at the skin surface. A soft x-ray parallel-plate chamber (PTW T34013) and electrometer was used for the output commissioning. GafChromic EBT films were used for testing the properties of the treatment fields with the skin applicators. Solid water slabs were used to verify the depth dose and cutout factors. Patients with basal cell or squamous cell carcinoma were treated with eBx using a calibrated Xoft system with the low-energy x-ray source and the skin applicators. RESULTS: The average nominal dose-rate output at the skin surface for the 35 mm applicator is 1.35 Gy/min with +/- 5% variation for 16 sources. The dose-rate output and stability (within +/- 5% variation) were also measured for the remaining three applicators. For the same source, the output variation is within 2%. The effective source-surface distance was calculated based on the air-gap measurements for four applicator sizes. The field flatness and symmetry are well within 5%. Percentage depth dose in water was provided by factory measurements and can be verified using solid water slabs. Treatment duration was calculated based on the nominal dose rate, the prescription fraction size, the depth dose percentage, and the cutout factor. The output factor needs to be measured for each case with varying shapes of cutouts. CONCLUSIONS: Together with TG-61, the authors' methodology provides comprehensive calibration procedures for medical physicists for using the Xoft eBx system and skin applicators for nonmelanoma skin cancer treatments.",cancer
"Monte Carlo evaluation of scatter mitigation strategies in cone-beam CT. PURPOSE: To investigate the efficacy of two widely used scatter mitigation methods: antiscatter grids (ASGs) and beam modulating with bowtie filters (BTFs), in combination with subtractive scatter correction or zeroth order normalization phantom calibration, for improving image noise, contrast, contrast-to-noise ratio (CNR), and image uniformity for on-board cone-beam CT (CBCT) imaging systems used for image-guided radiation therapy. METHODS: PTRAN Monte Carlo CBCT x-ray projections of head and pelvic phantoms were calculated for combinations of beam-modulation and scatter rejection methods and images were reconstructed by in-house developed software. In addition, a simple one-dimensional analytic model was developed to predict scatter-to-primary ratio (SPR) and CNR as a function of cylindrical phantom thickness, ASG transmission, and beam modulation with bow-tie filters. RESULTS: ASGs were found to have slightly negative or no effect on head phantom image CNR and to modestly improve CNR (10%-20%) in pelvic phantom images. However, scatter subtraction and norm-phantom calibration perform better when applied on data acquired with ASGs. Scatter subtraction improves CT number accuracy, but increases noise, and in high SPR/low primary-photon transmission scenarios can dramatically reduce CNR and introduce streaking artifacts. The BTF is found to reduce SPR and image noise, resulting in a better trade-off between CNR and imaging dose, but introduces a circular band artifact. CONCLUSIONS: Our study shows that ASGs have a modest positive impact in pelvic scans and negative in head scans, scatter subtraction improves the HU accuracy but reduces CNR, while BTF has a clearly positive effect.",cancer
"Model-based calculations of off-axis ratio of conic beams for a dedicated 6 MV radiosurgery unit. PURPOSE: Because the small-radius photon beams shaped by cones in stereotactic radiosurgery (SRS) lack lateral electronic equilibrium and a detector's finite cross section, direct experimental measurement of dosimetric data for these beams can be subject to large uncertainties. As the dose calculation accuracy of a treatment planning system largely depends on how well the dosimetric data are measured during the machine's commissioning, there is a critical need for an independent method to validate measured results. Therefore, the authors studied the model-based calculation as an approach to validate measured off-axis ratios (OARs). METHODS: The authors previously used a two-component analytical model to calculate central axis dose and associated dosimetric data (e.g., scatter factors and tissue-maximum ratio) in a water phantom and found excellent agreement between the calculated and the measured central axis doses for small 6 MV SRS conic beams. The model was based on that of Nizin and Mooij [""An approximation of central-axis absorbed dose in narrow photon beams,"" Med. Phys. 24, 1775-1780 (1997)] but was extended to account for apparent attenuation, spectral differences between broad and narrow beams, and the need for stricter scatter dose calculations for clinical beams. In this study, the authors applied Clarkson integration to this model to calculate OARs for conic beams. OARs were calculated for selected cones with radii from 0.2 to 1.0 cm. To allow comparisons, the authors also directly measured OARs using stereotactic diode (SFD), microchamber, and film dosimetry techniques. The calculated results were machine-specific and independent of direct measurement data for these beams. RESULTS: For these conic beams, the calculated OARs were in excellent agreement with the data measured using an SFD. The discrepancies in radii and in 80%-20% penumbra were within 0.01 cm, respectively. Using SFD-measured OARs as the reference data, the authors found that the calculated OARs were more accurate than those measured with a microchamber or film dosimetry. CONCLUSIONS: The model produces sufficiently accurate conic beam dosimetric data that can be used to validate direct measurement results for such beams.",cancer
"Characterization of a real-time surface image-guided stereotactic positioning system. PURPOSE: The AlignRT3C system is an image-guided stereotactic positioning system (IGSPS) that provides real-time target localization. This study involves the first use of this system with three camera pods. The authors have evaluated its localization accuracy and tracking ability using a cone-beam computed tomography (CBCT) system and an optical tracking system in a clinical setting. METHODS: A modified Rando head-and-neck phantom and five patients receiving intracranial stereotactic radiotherapy (SRT) were used to evaluate the calibration, registration, and position-tracking accuracies of the AlignRT3C system and to study surface reconstruction uncertainties, including the effects due to interfractional and intrafractional motion, skin tone, room light level, camera temperature, and image registration region of interest selection. System accuracy was validated through comparison with the Elekta kV CBCT system (XVI) and the Varian frameless SonArray (FSA) optical tracking system. Surface-image data sets were acquired with the AlignRT3C daily for the evaluation of pretreatment and interfractional and intrafractional motion for each patient. Results for two different reference image sets, planning CT surface contours (CTS) and previously recorded AlignRT3C optical surface images (ARTS), are reported. RESULTS: The system origin displacements for the AlignRT3C and XVI systems agreed to within 1.3 mm and 0.7 degrees. Similar results were seen for AlignRT3C vs FSA. For the phantom displacements having couch angles of 0 degrees, those that utilized ART_S references resulted in a mean difference of 0.9 mm/0.4 degrees with respect to XVI and 0.3 mm/0.2 degrees with respect to FSA. For phantom displacements of more than +/- 10 mm and +/- 3 degrees, the maximum discrepancies between AlignRT and the XVI and FSA systems were 3.0 and 0.4 mm, respectively. For couch angles up to +/- 90 degrees, the mean (max.) difference between the AlignRT3C and FSA was 1.2 (2.3) mm/0.7 degrees (1.2 degrees). For all tests, the mean registration errors obtained using the CT_S references were approximately 1.3 mm/1.0 degrees larger than those obtained using the ART_S references. For the patient study, the mean differences in the pretreatment displacements were 0.3 mm/0.2 degrees between the AlignRT3C and XVI systems and 1.3 mm/1 degrees between the FSA and XVI systems. For noncoplanar treatments, interfractional motion displacements obtained using the ART_S and CT_S references resulted in 90th percentile differences within 2.1 mm/0.8 degrees and 3.3 mm/0.3 degrees, respectively, compared to the FSA system. Intrafractional displacements that were tracked for a maximum of 14 min were within 1 mm/1 degrees of those obtained with the FSA system. Uncertainties introduced by the bite-tray were as high as 3 mm/2 degrees for one patient. The combination of gantry, aSi detector panel, and x-ray tube blockage effects during the CBCT acquisition resulted in a registration error of approximately 3 mm. No skin-tone or surface deformation effects were seen with the limited patient sample. CONCLUSIONS: AlignRT3C can be used as a nonionizing IGSPS with accuracy comparable to current image/marker-based systems. IGSPS and CBCT can be combined for high-precision positioning without the need for patient-attached localization devices.",cancer
